id,fillKey
ALB,High
ARG,Low
ARM,Low
AUS,Low
AUT,Low
AZE,Mid
BHS,High
BRB,Mid
BLR,High
BEL,Low
BGR,Low
CAN,Low
CRI,Mid
HRV,Low
CUB,Mid
DNK,Low
EST,High
FIN,Low
FRA,Low
GEO,Low
DEU,Low
GRC,Low
HUN,Low
ISL,Low
IRL,Low
ISR,Low
ITA,Low
JPN,Low
KAZ,High
KWT,Low
LVA,High
LTU,Mid
LUX,Low
MLT,Low
MUS,Low
MEX,High
NLD,Low
NZL,Low
NOR,Low
POL,Low
PRT,Low
ROU,Low
SRB,Low
SGP,Low
SVN,Low
ESP,Low
SWE,Low
CHE,Low
TJK,High
TKM,Mid
UKR,High
GBR,Low
USA,Mid
UZB,Mid
