Country,W1,W2,W3,W4
Afghanistan,29.5,28.16666667,18,18.4
Albania,42.5,38.5,41,36.4
Algeria,44,36.5,35,36.2
Angola,29.5,23.83333333,17,16.4
Argentina,49.5,51.33333333,47,47
Armenia,43.25,30.83333333,28.6,31.8
Australia,92,91.33333333,91.2,87.8
Austria,65,63,64,69.4
Azerbaijan,11,12,11,15
Bahrain,47.25,42.66666667,44,43.8
Bangladesh,20.25,17.16666667,20.6,21.4
Belarus,43.25,47,44.2,44.2
Belgium,85,86,86.2,86
Benin,36.75,35,37.4,38.8
Bolivia,44,43.5,43.6,45.6
Bosnia and Herzegovina,40,39,39,38.6
Botswana,63,63,62.6,61.6
Brazil,51,50.16666667,46,47.4
Bulgaria,49.75,51.5,50.2,48
Burkina Faso,42.5,43.5,45,42.4
Burundi,50,49.83333333,28.4,25
Cambodia,21,21,21,19.8
Cameroon,21,21,21,18.6
Canada,78,77.83333333,83,87
Central African Republic,28,26.16666667,17,19.4
Chad,4,4,4,4
Chile,77.5,77.66666667,78,72.4
China,42.25,41.33333333,42.6,41.6
Colombia,48.25,48.33333333,48.4,49.4
"Congo, Dem. Rep.",16.5,18,19.6,17.8
"Congo, Rep.",33.5,25,25,29.6
Costa Rica,66,65.33333333,64.2,63.2
Cote d'Ivoire,28.5,30.16666667,29.2,40.4
Croatia,35.75,51,45,54.4
Cuba,31,31,31,30.6
Cyprus,66,64,64,64.8
Czech Republic,53,54,54,55.8
Denmark,100,98,97,97
Dominican Republic,29.5,31.33333333,31,30.4
Ecuador,49,49.16666667,52.2,52.4
Egypt,14,13.33333333,13.6,28.6
El Salvador,42,41.33333333,38.4,45.2
Equatorial Guinea,22,22,22,22
Eritrea,52,45,41,39.2
Estonia,64.5,69.5,73.6,77.2
Ethiopia,40,40,41,40.6
Finland,79,79,79,80.2
France,70,71.66666667,72.6,74
Gabon,24,24,24.2,31.6
Gambia,39,39,39,37
Georgia,18.5,29.66666667,68.2,68.2
Germany,89.5,90,90.8,89.8
Ghana,32,39.5,41,40.2
Greece,51,50,49,52.2
Guatemala,32,29.33333333,32.6,34
Guinea,15,14.83333333,14.8,30.2
