Country,W1,W2,W3,W4
Afghanistan,-7,-7,,
Albania,5,6,9,9
Algeria,-3,-2.166666667,2,2
Angola,-2.5,-2.5,-2,-2
Argentina,7,8,8,8
Armenia,-1,5,5,5
Australia,10,10,10,10
Austria,10,10,10,10
Azerbaijan,-6.25,-7,-7,-7
Bahrain,-9,-7.833333333,-7,-6.5
Bangladesh,6,6,1,5
Belarus,-7,-7,-7,-7
Belgium,10,10,8.8,8
Benin,6,6,6.8,7
Bhutan,-10,-10,-2.4,3
Bolivia,9,8.666666667,7.8,7
Bosnia and Herzegovina,,,,
Botswana,7.5,8,8,8
Brazil,8,8,8,8
Bulgaria,8,8.666666667,9,9
Burkina Faso,-4.5,-3.5,,
Burundi,-3.666666667,1.6,6,6
Cambodia,-0.75,2,2,2
Cameroon,-4,-4,-4,-4
Canada,10,10,10,10
Cape Verde,8,9.333333333,10,10
Central African Republic,5,3,-1,-1
Chad,-2.5,-2,-2,-2
Chile,8,8.833333333,9.8,10
China,-7,-7,-7,-7
Colombia,7,7,7,7
Comoros,4,2.2,8.4,9
"Congo, Dem. Rep.",,2,4.8,5
"Congo, Rep.",-0.5,-4.833333333,-4,-4
Costa Rica,10,10,10,10
Cote d'Ivoire,-6,2.333333333,,
Croatia,-5,6.833333333,9,9
Cuba,-7,-7,-7,-7
Cyprus,10,10,10,10
Czech Republic,10,10,8.4,8
Denmark,10,10,10,10
Djibouti,-6.25,2,2,2
Dominican Republic,7.25,8,8,8
Ecuador,8.75,6.5,5.6,5
Egypt,-6,-6,-3,-2.5
El Salvador,7,7,7.2,8
Equatorial Guinea,-5,-5,-5,-5
Eritrea,-6,-6.666666667,-7,-7
Estonia,6,8.666666667,9,9
Ethiopia,1,1,1,1
Fiji,5,5.333333333,-1.8,-4
Finland,10,10,10,10
France,9,9,9,9
Gabon,-4,-4,-2.6,3
Gambia,-5.75,-5,-5,-5
Georgia,5,5.333333333,6.4,6
Germany,10,10,10,10
Ghana,1.25,5,8,8
Greece,10,10,10,10
Guatemala,6.75,8,8,8
Guinea,-1,-1,-1,5
Guinea-Bissau,5,2.666666667,6,6
Guyana,6,6,6,6
Haiti,7,-1.2,4.6,
Holy See,,,,
Honduras,6,7,7,7
Hungary,10,10,10,10
India,9,9,9,9
Indonesia,-6.5,6.333333333,8,8
Iran,-1.5,1.5,-6.2,-7
Iraq,-9,-8.166666667,-2,3
Ireland,10,10,10,10
Israel,9,10,10,10
Italy,10,10,10,10
Jamaica,9,9,9,9
Japan,10,10,10,10
Jordan,-2,-2,-2.6,-3
Kazakhstan,-4,-5,-6,-6
Kenya,-3.5,3,7.4,8
Kuwait,-7,-7,-7,-7
Kyrgyz Republic,-3,-3,2.8,5.5
Lao,-7,-7,-7,-7
Latvia,8,8,8,8
Lebanon,,,7,7
Lesotho,8,6,8,8
Liberia,,2,5.8,6
Libya,-7,-7,-7,-7
Lithuania,10,10,10,10
"Macedonia, FYR",6,7.5,9,9
Madagascar,8.25,7,7,
Malawi,6,5.166666667,6,6
Malaysia,3,3,4.2,6
Mali,6.5,6.5,7,7
Mauritania,-6,-6,-2.2,-2
Mauritius,10,10,10,10
Mexico,5,7.666666667,8,8
Moldova,7,7.666666667,8,8
Mongolia,9.75,10,10,10
Montenegro,-6.5,4.5,8.4,9
Morocco,-6.75,-6,-6,-5
Mozambique,5,5,5,5
Myanmar,-7,-7.166666667,-7.2,-4.5
Namibia,6,6,6,6
Nepal,5,0,3.6,6
Netherlands,10,10,10,10
New Zealand,10,10,10,10
Nicaragua,8,8,8.6,9
Niger,-2.5,5.166666667,4.2,4.5
Nigeria,-4.75,4,4,4
North Korea,-10,-10,-10,-10
Norway,10,10,10,10
Oman,-9,-8.5,-8,-8
Pakistan,7.5,-5.5,0.4,6
Panama,9,9,9,9
Papua New Guinea,4,4,4,4
Paraguay,6.75,7.333333333,8,8
Peru,1,7,9,9
Philippines,8,8,8,8
Poland,9,9.5,10,10
Portugal,10,10,10,10
Qatar,-10,-10,-10,-10
Romania,7.25,8.166666667,9,9
Russia,3,5.5,4.8,4
Rwanda,-6,-4,-3,-4
Saudi Arabia,-10,-10,-10,-10
Senegal,-1,6.5,7.4,7
Serbia,-6.5,4.5,7.6,8
Sierra Leone,-1.5,4.25,6.2,7
Singapore,-2,-2,-2,-2
Slovak Republic,7.5,9,9.8,10
Slovenia,10,10,10,10
Solomon Islands,8,6.666666667,8,8
Somalia,,,,
South Africa,9,9,9,9
South Korea,6.5,8,8,8
Spain,10,10,10,10
Sri Lanka,5,5.333333333,5.8,4
Sudan,-7,-6.5,-4,-2
Suriname,5,5,5,5
Swaziland,-9,-9,-9,-9
Sweden,10,10,10,10
Switzerland,10,10,10,10
Syria,-9,-7.333333333,-7,-7
Tajikistan,-4.5,-1.666666667,-3,-3
Tanzania,-1,-1,-1,-1
Thailand,9,9,2.2,5.5
Timor-Leste,,6,6.8,7
Togo,-2,-2,-4,-2
Trinidad and Tobago,9.5,10,10,10
Tunisia,-3,-3.5,-4,-4
Turkey,7.5,7,7,8
Turkmenistan,-9,-9,-9,-9
Uganda,-4,-4,-1,-1
Ukraine,7,6.166666667,6.8,6
United Arab Emirates,-8,-8,-8,-8
United Kingdom,10,10,10,10
United States,10,10,10,10
Uruguay,10,10,10,10
Uzbekistan,-9,-9,-9,-9
Venezuela,8,6.333333333,3.6,-3
Vietnam,-7,-7,-7,-7
Yemen,-2,-2,-2,-2
Zambia,2.25,3.666666667,5.8,7
Zimbabwe,-6,-3.666666667,-3,1
