id,fillKey
AFG,Low
ALB,High
DZA,Low
AGO,Low
ARG,High
ARM,Mid
AUS,High
AUT,High
AZE,Low
BHR,Low
BGD,High
BLR,Low
BEL,High
BEN,High
BTN,Low
BOL,High
BWA,High
BRA,High
BGR,High
BFA,Low
BDI,Mid
KHM,Mid
CMR,Low
CAN,High
CAF,Mid
TCD,Low
CHL,High
CHN,Low
COL,High
COM,Mid
COD,Mid
CRI,High
HRV,High
CUB,Low
CYP,High
CZE,High
DNK,High
DJI,Mid
DOM,High
ECU,High
EGY,Low
SLV,High
GNQ,Low
ERI,Low
EST,High
ETH,Mid
FJI,High
FIN,High
FRA,High
GAB,Low
GMB,Low
GEO,High
DEU,High
GHA,Mid
GRC,High
GTM,High
GIN,Low
GNB,Mid
GUY,High
HTI,Low
HND,High
HUN,High
IND,High
IDN,High
IRN,Mid
IRQ,Low
IRL,High
ISR,High
ITA,High
JAM,High
JPN,High
JOR,Low
KAZ,Low
KEN,Mid
KWT,Low
LVA,High
LSO,High
LBR,Mid
LBY,Low
LTU,High
MDG,High
MWI,High
MYS,Mid
MLI,High
MRT,Low
MUS,High
MEX,High
MDA,High
MNG,High
MNE,Mid
MAR,Low
MOZ,Mid
MMR,Low
NAM,High
NPL,High
NLD,High
NZL,High
NIC,High
NER,High
NGA,Mid
PRK,Low
NOR,High
OMN,Low
PAK,Low
PAN,High
PNG,Mid
PRY,High
PER,High
PHL,High
POL,High
PRT,High
QAT,Low
ROU,High
RUS,High
RWA,Low
SAU,Low
SEN,High
SRB,Mid
SLE,Mid
SGP,Low
SVK,High
SVN,High
SLB,High
ZAF,High
KOR,High
ESP,High
LKA,High
SDN,Low
SUR,Mid
SWE,High
CHE,High
TJK,Low
THA,High
TLS,High
TGO,Low
TTO,High
TUN,Low
TUR,High
TKM,Low
UGA,Low
UKR,High
ARE,Low
GBR,High
USA,High
URY,High
UZB,Low
VEN,High
VNM,Low
YEM,Low
ZMB,Mid
ZWE,Low
