Country,W1,W2,W3,W4
Afghanistan,36.8,36.8,36.8,36.8
Albania,27.825,30.56666667,30.2,29.18
Algeria,34.7,32.38333333,29.88,27.98
Andorra,40,40,40,40
Angola,52.35,50.66666667,45.2,42.68
Antigua and Barbuda,40,40,40,40
Argentina,49.025,50.96666667,45.86,42.06
Armenia,41.55,35.6,31.24,30.18
Australia,32.85,33.51666667,34.62,32.6
Austria,27.425,28.96666667,30.16,30.66
Azerbaijan,35.1,34.86666667,31.96,32.36
Bahamas,43.7,43.7,43.7,43.7
Bahrain,40,40,40,40
Bangladesh,32.4,33.28333333,32.78,32.26
Barbados,45.75,45.01666667,44.24,43.82
Belarus,29.6,29.93333333,28.18,27.14
Belgium,26.3,28.26666667,28.78,27.94
Belize,57.35,53.63333333,53.3,53.3
Benin,39.775,39.08333333,40.74,44.12
Bhutan,40.9,40.68333333,38.78,38.5
Bolivia,55.625,58.2,53.4,47.26
Bosnia and Herzegovina,30,31.31666667,33.26,32.92
Botswana,61.875,63.73333333,62.32,60.58
Brazil,59.625,58.06666667,54.94,52.62
Brunei,40,40,40,40
Bulgaria,28.6,30.8,33.46,35.86
Burkina Faso,48.75,45.43333333,40.88,37.22
Burundi,39,38.8,34.78,37.18
Cambodia,42,42,42,42
Cameroon,43.5,42.6,43.18,45.46
Canada,32,33.41666667,33.76,33.16
Cape Verde,52.5,51.9,48.44,47.2
Central African Republic,55.125,47.7,52.7,56.2
Chad,39.225,39.9,41.56,43.14
Chile,55.175,52.16666667,48.84,47.74
China,36.6,39.96666667,41.86,41.26
Colombia,56.825,56.33333333,54.52,53.22
Comoros,47.95,49.98333333,52.56,47.64
"Congo, Dem. Rep.",42.2,42.2,42.14,42.1
"Congo, Rep.",46.45,46.96666667,47.88,48.82
Costa Rica,46.25,49.11666667,48.96,48.82
Cote d'Ivoire,39.75,40.91666667,42.66,42.22
Croatia,27.775,30.18333333,31.9,31.92
Cuba,41.85,42.41666667,43.02,43.38
Cyprus,30.1,30.13333333,31.2,33.96
Czech Republic,26.15,26.91666667,26.54,26.22
Denmark,24.05,24.93333333,25.92,27.66
Djibouti,39.575,40.36666667,42.58,44.3
Dominica,40,40,40,40
Dominican Republic,49.15,50.9,49.34,46.3
Ecuador,52.4,54.45,51.34,46.66
Egypt,30.95,32.2,31.54,30.96
El Salvador,51.9,50.96666667,46.18,42.68
Equatorial Guinea,40,40,40,40
Eritrea,40,40,40,40
Estonia,34.6,35.71666667,32.56,33.1
Ethiopia,41,31.15,31.04,34.58
Fiji,37.95,38.2,39.44,38.24
Finland,24.425,27.2,27.86,27.3
France,31.9,31.41666667,31.74,32.96
Gabon,48.15,44.66666667,41.54,39.78
Gambia,47.75,47.75,45.7,41.64
Georgia,38.025,38.55,37.86,38.46
Germany,29.075,29.96666667,30.9,30.92
Ghana,39.5,41.05,42.54,42.44
Greece,33.75,33.21666667,34.1,35.34
Grenada,40,40,40,40
Guatemala,55.95,54.51666667,53.44,50
Guinea,45.475,43.41666667,39.18,34.64
Guinea-Bissau,40.45,37.86666667,44.92,50.38
Guyana,44.275,43.33333333,43.2,43.2
Haiti,58.075,58.43333333,54.82,51.56
Holy See,40,40,40,40
Honduras,55.1,56.41666667,56,53.34
Hungary,27.075,28.25,29.16,30.04
Iceland,25.825,27.18333333,29.22,27.08
India,32.1,33.23333333,34.38,35.04
Indonesia,32.625,30.98333333,34.56,38.72
Iran,43.675,43.86666667,43.16,39.32
Iraq,28.6,28.6,28.74,29.38
Ireland,34.975,33.83333333,32.44,32.64
Israel,37.675,39.55,41.46,41.68
Italy,34.1,34.25,33.82,34.84
Jamaica,40.85,45.91666667,45.54,45.5
Japan,30.5,31.45,31.98,32.1
Jordan,37.85,36.53333333,34.16,33.5
Kazakhstan,35.05,34.53333333,29.8,27.66
Kenya,44.85,45.71666667,45.56,43.04
Kiribati,37,37,37,37
Kuwait,40,40,40,40
Kyrgyz Republic,47.35,33.48333333,32.72,28.42
Lao,34.625,33.61666667,34.68,36.1
Latvia,31.95,35.1,36.36,35.28
Lebanon,36.225,33.48333333,31.82,31.8
Lesotho,60.575,54.36666667,53.04,54.14
Liberia,36.5,36.5,36.12,34.24
Libya,40,40,40,40
Liechtenstein,40,40,40,40
Lithuania,32.4,33.11666667,35.28,35.34
Luxembourg,29.15,30.06666667,31.18,32.36
"Macedonia, FYR",33.225,36.13333333,42.38,38.64
Madagascar,41.35,43.03333333,41.28,42.5
Malawi,64.6,52.86666667,42.48,45.12
Malaysia,48.625,47.21666667,45.76,42.9
Maldives,41.3,41.16666667,39.66,38.46
Mali,47.1,41.25,37.02,33.24
Malta,28,28,28.82,29.24
Marshall Islands,40,40,40,40
Mauritania,40.125,39.25,37,33.72
Mauritius,35.225,34.71666667,35.56,35.8
Mexico,51.6,50.33333333,47.86,46.84
"Micronesia, Fed. Sts.",42.4,42.38333333,41.74,40.44
Moldova,37.35,37.05,34.38,29.6
Monaco,40,40,40,40
Mongolia,31.675,32.51666667,34.68,33.3
Montenegro,30.2,30.2,30.48,31.42
Morocco,39.4,40.33333333,40.58,39.94
Mozambique,53.05,48.95,46.36,49.8
Myanmar,38.1,38.1,38.1,38.1
Namibia,69.325,64.96666667,62.12,60.34
Nauru,40,40,40,40
Nepal,36.075,40.75,38.98,33.46
Netherlands,28.25,30.28333333,29.2,28.04
New Zealand,32.9,33.45,32.82,33.58
Nicaragua,51.025,47.41666667,44.48,45.22
Niger,41.475,43.35,39.42,33.4
Nigeria,49.575,44.01666667,41.56,42.92
North Korea,37,37,37,37
Norway,28.55,28.63333333,27.46,26.2
Oman,40,40,40,40
Pakistan,30.4,31.46666667,31.78,30.88
Palau,40,40,40,40
Palestine,34,34.06666667,34.78,34.38
Panama,57.725,56.18333333,53.34,51.46
Papua New Guinea,54.45,50.1,44.8,42.02
Paraguay,55.45,54.61666667,51.82,49.46
Peru,51.05,52.53333333,49.22,44.8
Philippines,44.9,44.81666667,44.52,43.76
Poland,31.575,33.85,34.12,32.74
Portugal,37.5,38.06666667,37.1,35.92
Qatar,40,40,40,40
Romania,29.575,30.03333333,32.46,32.6
Russia,42.425,38.36666667,40.98,39.96
Rwanda,43.025,48.51666667,50.38,46.74
Samoa,42.1,42.1,42.1,42.1
San Marino,40,40,40,40
Sao Tome and Principe,32.1,31.93333333,31.26,30.82
Saudi Arabia,40,40,40,40
Senegal,42.225,40.78333333,39.64,40.16
Serbia,33.15,32.91666667,30.48,34.6
Seychelles,42.375,42.76666667,43.32,45.88
Sierra Leone,40.8,40.26666667,37.5,34.38
Singapore,35.05,39.48333333,42.48,41.96
Slovak Republic,25.3,27.35,27.12,26.74
Slovenia,28.7,28.3,24.7,25.38
Solomon Islands,46.1,46.06666667,43.64,38.62
Somalia,47.3,47.45,47.84,48
South Africa,59.875,60.13333333,63.64,63.2
South Korea,32.45,31.85,32.02,31.74
South Sudan,45,45,45.18,45.12
Spain,33.075,31.86666667,33.92,35.64
Sri Lanka,36.05,39.78333333,39.42,38.3
St. Kitts and Nevis,40,40,40,40
St. Lucia,42.6,42.6,42.6,42.6
St. Vincent and the Grenadines,40,40,40,40
Sudan,35.825,35.65,35.46,35.4
Suriname,56.85,58.35,60.08,60.94
Swaziland,57.35,53.16666667,51.86,51.5
Sweden,24.275,26.05,27.04,28.08
Switzerland,31.825,33.75,33.74,32.24
Syria,32.575,34.46666667,35.48,35.24
Tajikistan,34.275,31.71666667,32.14,32.44
Tanzania,36.3,37.75,39.5,38.2
Thailand,42.8,42.33333333,40.64,38.16
Timor-Leste,35.9,34.35,29,28.4
Togo,47.05,44.46666667,43.48,44.7
Tonga,37.7,37.66666667,37.54,37.5
Trinidad and Tobago,40.525,40.83333333,41.16,41.3
Tunisia,41.325,39.93333333,37.42,35.96
Turkey,41.375,41.5,39.76,40.26
Turkmenistan,39.025,45.6,46.4,46.4
Tuvalu,39.1,39.1,39.1,39.1
Uganda,40.275,43.4,43.64,42.46
Ukraine,33.375,29.23333333,27.4,24.8
United Arab Emirates,40,40,40,40
United Kingdom,36.975,36.3,34.74,33.4
United States,40.5,40.51666667,40.76,40.88
