id,fillKey
AFG,Low
ALB,Mid
DZA,Mid
ARG,High
ARM,Mid
AUS,High
AUT,High
AZE,Mid
BHR,High
BGD,Low
BRB,High
BLR,Mid
BEL,High
BLZ,Mid
BEN,Low
BOL,Mid
BWA,Mid
BRA,Mid
BGR,High
BDI,Low
KHM,Low
CMR,Low
CAN,High
CAF,Low
CHL,High
CHN,Mid
COL,Mid
COD,Low
CRI,Mid
HRV,High
CUB,Mid
CYP,High
CZE,High
DNK,High
DJI,Low
DOM,Mid
ECU,Mid
EGY,Mid
SLV,Mid
EST,High
FJI,Mid
FIN,High
FRA,High
GAB,Mid
GMB,Low
DEU,High
GHA,Low
GRC,High
GTM,Mid
GIN,Low
GUY,Mid
HTI,Low
HND,Mid
HUN,High
ISL,High
IND,Low
IDN,Mid
IRN,Mid
IRQ,Mid
IRL,High
ISR,High
ITA,High
JAM,Mid
JPN,High
JOR,Mid
KAZ,Mid
KEN,Low
KWT,High
LVA,Mid
LSO,Low
LBY,High
LTU,High
LUX,High
MWI,Low
MYS,Mid
MDV,Mid
MLI,Low
MLT,High
MRT,Low
MUS,Mid
MEX,Mid
MDA,Mid
MNG,Mid
MAR,Mid
MOZ,Low
MMR,Low
NAM,Mid
NPL,Low
NLD,High
NZL,High
NIC,Mid
NER,Low
NOR,High
PAK,Low
PAN,Mid
PNG,Low
PRY,Mid
PER,Mid
PHL,Mid
POL,High
PRT,High
QAT,High
ROU,Mid
RUS,High
RWA,Low
WSM,Mid
STP,Low
SAU,High
SEN,Low
SRB,High
SLE,Low
SGP,High
SVK,High
SVN,High
ZAF,Mid
KOR,High
ESP,High
LKA,Mid
SDN,Low
SUR,Mid
SWE,High
CHE,High
TJK,Mid
THA,Mid
TGO,Low
TON,Mid
TTO,Mid
TUN,Mid
TUR,Mid
UGA,Low
UKR,Mid
ARE,High
GBR,High
USA,High
URY,High
VEN,Mid
VNM,Mid
YEM,Low
ZMB,Low
ZWE,Low
