Country,W1,W2,W3,W4
Albania,18.815,7.36,3.015,2.3
Antigua and Barbuda,,,,
Argentina,4.435,,,
Armenia,3.13,2.126,1.69,1.191333333
Australia,1.6475,1.366333333,1.1145,1.074
Austria,1.04,0.7963333333,0.6652,0.4218
Azerbaijan,7.2925,4.125,0.231,
Bahamas,14.3,,,
Bahrain,,,0.525,0.521
Barbados,6.29,,,
Belarus,11.35,10.3,,
Belgium,1.7725,1.788333333,1.294,1.0376
Belize,,,,
Bosnia and Herzegovina,,,,1.01
Brazil,,,,
Brunei,,,,0.732
Bulgaria,4.225,2.701666667,1.658,1.136
Canada,1.565,1.503333333,1.81,
Chile,,,,
Colombia,,,,
Costa Rica,5.25,,,
Croatia,2.885,1.825,1.314,0.9198
Cuba,6.615,,,
Cyprus,,1.27,1.574,1.4528
Czech Republic,1.55,1.231666667,0.8058,0.7212
Denmark,1.00675,0.936,0.823,0.57
Dominica,,,,
Dominican Republic,,,,
Ecuador,,,,
Egypt,,0.111,0.11145,0.268
El Salvador,,,,
Estonia,18.625,11.21166667,6.188,3.786
Finland,2.705,2.373333333,1.94,1.55
France,0.9075,0.7551666667,0.657,0.5794
Georgia,1.477075,3.1575,0.973,0.8522
Germany,0.988,0.7015,0.5322,0.485
Greece,1.29,0.893,1.0286,1.2244
Grenada,,,,
Guatemala,,,,
Guyana,,,,
Hungary,2.7825,1.978333333,1.474,1.031
Iceland,0.78,1.3048,0.5288,0.5282
Ireland,0.9,0.9258333333,0.9522,0.6473333333
Israel,0.88575,4.575,2.522,1.906
Italy,1.285,0.9985,0.8156,0.6534
Jamaica,,,,
Japan,0.54125,0.52,0.3882,0.2584
Jordan,,,2.24,2.42
Kazakhstan,19.375,15.48,,6.02
Kuwait,1.321,1.38475,0.6523333333,0.5542
Kyrgyz Republic,12.21,7.925,6.896,5.082
Latvia,14.75,10.50666667,7.442,5.138
Lithuania,9.475,6.785,4.894,4.018
Luxembourg,0.63825,1.2005,1.13,0.6766
"Macedonia, FYR",2.08,3.421666667,1.954,1.3415
Malaysia,,,0.9683333333,0.5818
Malta,1.0725,1.6606,0.74725,0.9722
Mauritius,2.065,2.641666667,4.07,2.902
Mexico,19,,,
Moldova,13.625,9.851666667,6.524,5.14
Mongolia,,,,
Montenegro,,,2.0895,
Netherlands,1.1925,1.178333333,0.8992,0.7938
New Zealand,1.6175,1.453333333,1.528,1.1625
Nicaragua,,,,
Norway,0.9025,0.8718333333,0.6856,1.0844
Oman,,,,0.0578
Panama,,,,
Peru,,,,
Philippines,,,,
Poland,2.58,1.62,1.0918,0.8062
Portugal,1.33,1.2552,1.048,0.911
Qatar,,1.09,,
Romania,3.5175,2.95,1.844,1.592
Russia,24.175,,,
Sao Tome and Principe,,,,
Serbia,3.2,2.341666667,1.918,1.542
Seychelles,,,,
Singapore,0.76025,0.7961666667,0.4514,0.313
Slovak Republic,2.0925,1.913333333,1.163333333,0.90375
Slovenia,1.80575,1.191166667,0.6934,0.6954
South Africa,,,11,
South Korea,1.8925,1.586666667,1.356,0.9876
Spain,0.806,0.958,0.7218,0.5966
Sri Lanka,,,,
St. Kitts and Nevis,,,,
St. Lucia,,,,
St. Vincent and the Grenadines,,,,
Suriname,,,,
Sweden,1.07425,1.039333333,0.9142,0.8006
Switzerland,1.037,0.8956666667,0.68,0.473
Tajikistan,11.64,4.44,,
Thailand,,5.07,4.646666667,4.314
Trinidad and Tobago,,,,
Tunisia,,,0.0745,
Turkey,,,1.1,1.41
Turkmenistan,6.635,,,
Ukraine,12.9,10.76,,
United Kingdom,0.82675,0.5182,0.3798,0.2428
United States,7.8625,6.463333333,6.433333333,6
Uruguay,,,,
Uzbekistan,5.3,3.393333333,3.16,
Venezuela,,,,
