id,fillKey
ALB,High
ARG,Low
ARM,Low
AUS,Low
AUT,Low
AZE,Mid
BHS,High
BRA,Mid
BRB,Mid
BLR,High
BEL,Low
BGR,Low
CAN,Low
CHN,Mid
CRI,Mid
HRV,Low
CUB,Mid
DNK,Low
EST,High
FIN,Low
FRA,Low
GEO,Low
DEU,Low
GRC,Low
HUN,Low
ISL,Low
IRL,Low
ISR,Low
ITA,Low
IND,Mid
JPN,Low
KAZ,High
KWT,Low
LVA,High
LTU,Mid
LUX,Low
MYS,Low
MLT,Low
MUS,Low
MEX,High
NLD,Low
NZL,Low
NOR,Low
POL,Low
PRT,Low
ROU,Low
RUS,Mid
SRB,Low
SGP,Low
SVN,Low
ESP,Low
SWE,Low
CHE,Low
THA,Mid
TJK,High
TKM,Mid
UKR,High
GBR,Low
USA,Mid
UZB,Mid
ZAF,Mid
