country,W1,W2,W3,W4
Afghanistan,1.17,1.385,1.658,1.942
Albania,8.6975,9.478333333,10.36,11.2
Algeria,7.22,8.03,8.944,9.78
Andorra,13.725,14.43333333,15.14,15.72
Angola,3.645,4.215,4.9,5.572
Antigua and Barbuda,12.325,13.1,13.92,14.58
Argentina,10.1675,10.85,11.62,12.38
Armenia,9.4225,10.14833333,11,11.8
Australia,12.7,13.33333333,14.04,14.68
Austria,9.6725,10.34833333,11.12,11.92
Azerbaijan,9.9175,10.61666667,11.42,12.14
Bahamas,10.825,11.65,12.52,13.3
Bahrain,8.58,9.233333333,9.99,10.72
Bangladesh,4.265,4.975,5.792,6.554
Barbados,9.56,10.39666667,11.32,12.12
Belarus,9.865,10.73333333,11.7,12.6
Belgium,11.475,12.13333333,12.9,13.58
Belize,7.4875,8.25,9.126,9.95
Benin,2.49,2.92,3.452,3.982
Bhutan,2.515,2.916666667,3.414,3.922
Bolivia,7.62,8.411666667,9.316,10.162
Bosnia and Herzegovina,7.9275,8.78,9.748,10.66
Botswana,7.3725,8.191666667,9.11,9.948
Brazil,6.73,7.458333333,8.304,9.112
Brunei,13.1,13.85,14.6,15.26
Bulgaria,9.66,10.06166667,10.68,11.38
Burkina Faso,1.48,1.771666667,2.134,2.502
Burundi,2.9375,3.403333333,3.97,4.544
Cambodia,4.3625,4.998333333,5.762,6.512
Cameroon,5.4925,6.103333333,6.818,7.518
Canada,12.75,13.1,13.6,14.22
Cape Verde,5.6625,6.371666667,7.194,7.972
Central African Republic,3.04,3.476666667,4.018,4.582
Chad,1.485,1.755,2.088,2.434
Chile,10.6,11.4,12.26,13.02
China,8.2825,9.08,9.964,10.78
Colombia,8.1,8.91,9.832,10.66
Comoros,4.35,5.055,5.892,6.696
"Congo, Dem. Rep.",4.135,4.721666667,5.428,6.134
"Congo, Rep.",5.945,6.621666667,7.43,8.21
Costa Rica,8.4,9.048333333,9.828,10.6
Cote d'Ivoire,2.93,3.348333333,3.868,4.402
Croatia,8.2125,8.946666667,9.804,10.64
Cuba,10.55,11.28333333,12.1,12.88
Cyprus,11.8,12.43333333,13.16,13.82
Czech Republic,10.65,11.18333333,11.84,12.54
Denmark,10.875,11.56666667,12.38,13.12
Djibouti,3.625,4.206666667,4.9,5.564
Dominica,10.825,11.63333333,12.52,13.28
Dominican Republic,8.2275,8.988333333,9.864,10.7
Ecuador,8.265,8.953333333,9.778,10.58
Egypt,6.845,7.693333333,8.62,9.458
El Salvador,6.805,7.578333333,8.466,9.3
Equatorial Guinea,5.1175,5.785,6.58,7.344
Eritrea,3.5725,4.118333333,4.768,5.414
Estonia,8.6575,9.346666667,10.194,11.04
Ethiopia,3.6825,4.255,4.882,5.444
Fiji,9.7025,10.45,11.28,12.06
Finland,10.45,11.23333333,12.08,12.88
France,10.75,11.4,12.18,12.92
Gabon,7.76,8.276666667,8.916,9.572
Gambia,3.1875,3.676666667,4.272,4.862
Georgia,10.6,11.4,12.26,13.02
Germany,10.8,11.46666667,12.28,13.02
