Country,Suicide,Bride,Prostitution,Homosex,Domes.Vio,Euthanasia,Divorce,Gov.Benefit,Taxes,Abortion
Andorra,3.71,1.4,5.61,8.16,1.17,7.35,8.72,2.76,2.47,6.97
Argentina,2.26,1.43,4.14,5.3,1.19,4.02,6.51,3.57,1.67,3.18
Australia,3.2,1.49,4.62,5.64,1.37,6.57,6.66,1.76,2.04,5.65
Brazil,1.8,1.86,3.12,4.24,1.57,3.47,5.63,2.72,3.62,2.43
Bulgaria,2.49,1.91,2.98,4.08,1.76,5.62,6.37,2.15,2.43,5.63
Canada,2.77,1.57,3.27,5.7,1.16,5.34,5.95,1.86,1.91,4.67
Chile,2.3,1.67,3.53,4.86,1.38,3.75,5.96,4.26,1.89,2.64
China,1.86,1.71,1.43,1.62,1.66,3.27,2.7,3.51,2,2.09
Colombia,1.4,1.56,1.94,3.71,1.24,3.33,4.65,1.72,1.56,1.97
Cyprus,2.17,1.86,2.62,3.88,1.72,3.29,5.85,2.6,2.21,3.87
Ethiopia,1.46,1.47,1.96,1.51,1.57,1.95,2.86,2,1.46,2.29
Finland,3.26,1.59,3.13,5.94,1.27,5.82,6.77,2.06,2.14,5.49
France,3.76,2.18,3.36,6.46,1.28,6.78,6.86,3.15,2.83,6.48
Germany,3.6,1.73,4.47,6.47,1.75,4.91,6.67,2.15,2.2,5.22
Ghana,1.97,2.41,2.03,1.76,2.44,3.06,2.78,2.38,1,2.18
Hungary,2.32,2.29,3.13,4.21,1.24,4.6,5.81,1.7,2.02,4.73
India,3.38,2.97,3.1,3.02,3.15,3.88,3.91,3.06,3.03,3.25
Indonesia,1.28,1.41,1.4,1.35,1.35,1.79,2.96,2.14,1.57,1.49
Iran,1.73,1.76,1.54,1.52,1.79,2.76,3.13,3.64,2.03,2.31
Italy,2.07,1.32,2.43,3.34,1.18,3.91,5.04,1.62,2.18,3.54
Japan,2.88,1.54,2.03,4.77,1.63,6.47,6.45,2.09,1.46,4.59
Jordan,1.06,1.13,1.01,1.02,1.47,1.25,2.22,2.7,1.83,1.21
South Korea,2.93,1.57,2.51,2.81,1.65,4.66,4.6,2.81,1.64,3.52
Malaysia,2.97,3.2,2.98,3.02,3.07,3.21,3.58,4.08,3.53,2.98
Mali,3.36,3.18,3.26,2.87,4.82,3.63,4.65,3.32,3.32,3.44
Mexico,2.56,2.44,3.89,4.53,2.02,4.26,5.25,4.09,2.62,3.16
Moldova,2.04,2.26,2.39,2.33,1.92,3.91,4.5,3.27,3.55,3.18
Netherlands,3.8,1.54,5.58,7.18,1.24,6.33,6.43,1.51,2.3,5.53
New Zealand,2.95,1.45,4.51,5.43,1.32,6.19,6.66,1.86,2.15,5.27
Norway,3.44,1.52,4.12,7.75,1.25,5.58,7.25,2.06,2.28,6.71
Poland,2.26,1.37,2.48,3.07,1.25,3.36,4.67,2.32,2.44,3
Romania,1.53,1.45,2.13,2.08,1.64,3.04,4.22,2.04,2.34,3.29
Russia,2.22,1.82,2.28,2.46,1.55,5.28,5.41,2.83,3.03,4.11
Rwanda,1.69,2.22,1.72,1.53,2.47,1.7,2.87,2.67,2.25,1.74
Serbia,4.42,4.66,4.62,4.66,4.81,4.84,5.01,4.73,4.74,4.79
Vietnam,1.71,1.47,1.56,1.86,1.62,3.16,2.46,2.79,1.66,2.42
Slovenia,3.8,1.86,4.33,5.48,1.51,5.5,6.96,3,2.37,6.17
South Africa,2.4,2.37,2.51,2.97,2.39,3.19,3.85,2.6,2.51,2.65
Spain,3.06,1.82,4.64,6.66,1.52,5.62,7.09,2.53,2.06,5.52
Sweden,4.39,1.97,3.08,8.43,1.21,6.72,8.38,1.85,2.25,7.85
Switzerland,4.56,1.49,5.12,7.34,1.45,6.58,6.89,1.53,2.01,5.53
Thailand,2.43,2.84,2.76,3.09,2.53,3.37,3.3,4.02,2.76,2.46
Turkey,1.52,1.29,1.76,1.74,1.49,2.77,3.43,1.58,1.35,2.33
Ukraine,2.16,2.46,2.49,2.52,1.89,4.56,4.89,3.37,3.13,3.85
United States,2.85,1.71,3.25,4.57,1.48,4.9,5.83,2.29,2.06,4.48
Uruguay,3,1.81,5.13,5.66,1.81,4.75,7.08,2.41,1.98,4.49
Zambia,2.82,3.38,3.18,2.62,4.35,3.98,4.57,3.32,3.66,3.19
Great Britain,3.82,1.65,3.93,5.69,1.32,6.07,6.4,2.19,2.28,4.93
