Country,Suicide,Stealing,Bribe,Prostitution,Homosex,Domes.Vio,Divorce,Gov.Benefit,Taxes,Abortion
Azerbaijan,1.4,1.15,1.31,1.27,1.19,1.85,3.07,1.53,1.5,2.8
Argentina,2.38,1.64,1.67,3.59,5.59,1.46,6.67,3.84,1.88,3.5
Australia,3.45,1.29,1.53,4.76,6.87,1.26,7.06,1.91,1.88,5.8
Armenia,1.31,1.37,1.47,1.19,1.13,1.57,2.98,2.15,2.08,2.32
Brazil,1.64,1.43,1.55,3.04,4.58,1.39,6.2,2.27,2.55,2.31
Belarus,1.67,1.74,2.34,2.97,2.42,1.77,5.32,2.81,2.77,3.83
Chile,2.06,1.45,1.67,3.62,5.73,1.3,6.96,3.43,1.7,3.23
China,2.5,1.71,1.96,1.78,2.18,2.39,3.52,3.66,2.21,2.81
Colombia,1.64,1.45,1.52,2.47,3.39,1.39,4.25,3.1,1.65,1.9
Cyprus,2.03,1.39,1.54,2.71,3.96,1.37,6.34,1.86,1.77,3.58
Ecuador,1.85,1.77,1.91,2.76,2.89,1.67,3.76,2.95,1.91,2.13
Estonia,2.03,1.31,1.52,2.66,3.2,1.44,6.14,3.12,2.28,4.96
Georgia,1.19,1.18,1.19,1.25,1.23,1.17,3.61,1.78,1.45,1.83
Palestine,1.55,1.68,1.74,1.2,1.51,2.4,3.31,3.53,2.94,2.26
Germany,3.31,1.32,1.69,4.28,5.89,1.68,6.32,1.94,2,4.5
Ghana,1.46,1.44,1.77,1.52,1.37,2.11,2.41,1.67,1.62,1.62
Haiti,2.96,4.74,5.19,3.84,3.44,4.75,4.57,4.97,5.67,3.74
India,1.57,1.56,1.57,1.56,1.58,1.79,1.87,2.51,1.67,1.62
Iraq,1.73,1.62,1.73,1.23,1.73,2.81,3.96,2.8,2.88,2.47
Japan,2.37,1.18,1.41,3.1,5.14,1.4,6.15,2.04,1.31,4.76
Kazakhstan,2.08,1.95,2.1,2.6,2.19,2.35,4.79,2.93,2.59,3.46
South Korea,2.38,1.66,1.6,1.8,3.28,1.58,4.53,2.83,1.71,3.36
Libya,1.56,1.66,1.56,1.56,1.9,2.08,3.32,2.48,1.68,1.79
Mexico,2.3,1.91,2.11,3.37,4.19,1.82,4.87,4.51,2.16,2.88
Malaysia,2.04,2.36,2.36,2.15,2.37,2.25,2.83,2.83,2.62,2.13
Netherlands,4.4,1.21,1.43,4.99,7.9,1.28,7.23,1.34,1.9,6.5
New Zealand,2.75,1.4,1.49,4.34,5.9,1.3,6.64,1.97,1.88,5.21
Nigeria,2.09,2.01,2.15,2.04,1.9,2.61,2.63,1.94,2.14,2.05
Pakistan,1.47,1.72,1.68,1.44,1.54,1.58,2.19,2.02,1.82,1.49
Peru,2.13,1.75,1.93,2.69,3.7,1.89,4.78,3.65,2,2.4
Philippines,2.88,3.39,4,3.58,4.47,3.44,3.97,4.17,3.72,3.09
Poland,2.42,1.58,1.41,2.41,3.55,1.29,4.94,2.61,2.34,3.1
Romania,1.43,1.21,1.37,1.99,2.27,1.33,3.93,1.92,2.03,2.93
Russia,2.03,1.76,2.09,2.77,2.51,1.88,6.02,3.05,3.05,4.36
Rwanda,1.79,1.44,2.13,1.82,1.5,4.22,2.56,1.75,2.08,2.22
Singapore,3.09,2.4,2.46,3.51,3.51,2.46,4.34,3.11,2.48,3.75
Slovenia,3.49,1.46,1.38,4.05,5.24,1.57,7.38,2.55,1.76,6.88
South Africa,4.01,4.02,4.06,3.97,4.24,3.92,4.64,4.39,4.04,4.03
Sweden,4.55,1.91,1.92,3.12,8.18,1.39,8.27,2.26,2.15,7.81
Thailand,1.79,1.66,1.74,1.92,2.85,1.7,3.44,2.81,1.66,1.94
