Country,Suicide,Bribe,Prositution,Homosex,Euthanasia,Divorce,Gov.Benefit,Taxes,Stealing,Abortion
Albania,2.11,2.42,1.98,1.78,3.14,5.88,6.13,2.32,2.42,5.74
Azerbaijan,1.87,2.86,1.58,1.41,3.43,4.25,2.42,3.62,1.9,4.37
Argentina,2.16,1.37,3.49,4.45,3.9,5.88,2.22,2.01,1.57,3.41
Australia,3.05,1.28,4.14,4.6,6.18,5.91,1.73,2.16,1.61,4.81
Brazil,1.46,4.01,2.33,3.17,3,4.9,3.2,3.58,1.37,2.03
Bulgaria,2.19,1.98,2.54,3.34,4.02,5.73,1.63,2.09,2.04,5.73
Belarus,2.18,2.04,2.47,2.17,6.24,5.25,3.21,3.4,1.76,4.65
Chile,2,1.71,2.82,3.32,3.15,4.4,3.45,2.21,1.82,2.2
China,2.89,1.21,1.19,1.36,6,5.37,2.37,1.53,1.53,4.03
Colombia,1.64,1.49,2.3,2.65,4.15,4.74,1.95,1.92,1.73,1.94
Czech Rep.,4.41,2.28,3.61,6.86,6.12,6.76,2.79,2.98,2.65,6.23
Estonia,2.24,1.51,2.59,2.38,6.32,5.96,2.17,3.37,1.62,5.19
Finland,3.11,1.41,3.52,4.52,6.04,6.52,2.02,2.57,1.74,5.09
Hungary,2.62,3.69,2.88,3.52,6.17,6.28,2.76,2.4,2.21,5.44
India,1.82,1.54,1.87,1.74,2.92,3.05,1.99,1.63,1.62,2.55
Japan,2.57,1.58,2.17,3.47,5.96,5.72,2.09,1.51,1.62,4.35
Latvia,3.13,1.99,3.07,2.88,6.49,6.33,2.83,3.58,2.17,5.29
Lithuania,2.07,1.95,2.25,1.95,5.2,4.39,2.34,3.13,1.8,3.88
Mexico,1.94,2.4,2.85,2.87,3.52,4.4,3.24,2.89,2.4,2.72
New Zealand,2.86,1.46,4.38,4.74,6.38,6.29,1.87,2.31,1.6,5.08
Nigeria,1.6,1.91,1.74,1.58,2.38,2.55,1.95,1.9,1.67,1.95
Norway,2.63,1.32,3.04,5.71,5.3,5.94,1.64,2.71,1.38,5.56
Peru,1.87,1.69,2.7,3.39,3.56,4.55,3.02,2.15,1.84,2.31
Philippines,2.28,3.5,3,3.77,2.72,3.31,3.39,3,2.66,2.33
Poland,2.32,1.37,2.25,2.76,2.93,4.52,2.3,2.49,1.52,3.5
Romania,1.87,1.79,2.59,2.27,3.94,5.29,2.11,2.26,1.92,4.95
Russia,2.11,1.52,2.11,1.78,5.31,5.26,2.34,3.25,1.48,4.94
Slovenia,3.6,1.84,3.2,3.84,5.06,6.13,3.38,2.82,1.98,5.66
South Africa,2.05,1.9,2.08,2.6,3.03,3.7,2.3,2.22,2.07,2.45
Spain,2.74,1.42,4.36,5.46,5.06,6.07,1.92,1.92,1.52,4.4
Sweden,4.7,1.8,3.87,7.03,6.79,7.56,2.15,2.58,1.71,7.21
Switzerland,3.68,1.54,5.32,6.45,6.36,6.39,2.07,2.6,1.6,5.02
Ukraine,2.03,1.96,2.17,2.01,4.75,4.93,3.19,3.45,1.83,4.25
United States,2.29,1.22,2.5,3.75,4.67,5.36,1.67,1.73,1.41,3.95
Uruguay,2.36,1.27,3.81,3.95,4.7,6.26,1.75,1.73,1.56,3.77
Venezuela,1.7,2.4,2.25,1.96,2.67,4.86,1.96,1.98,1.59,2.26
Serbia,2.56,1.41,2.19,2.3,5.01,5.61,2.3,2.55,1.81,5.15
